Comment,Designator,Footprint,LCSC Part #
"PMEG6010CEJ,115 DB2J50100L",D2,D_SOD-323F,C406049
TestPoint,"TP3,TP2,TP1",TestPoint_Pad_D1.0mm,
3.3kΩ,"R3,R22,R21",0603_R,C22978
GREEN 绿,D3,LED_0805_2012Metric,C2297
Conn_01x04_MountingPin,"J5,J4",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,
STSPIN32F0B,U1,VQFN-48-1EP_7x7mm_P0.5mm_EP2.8x2.8mm,
FTSH-105-01-F-DV,J3,PinHeader_2x05_P1.27mm_Vertical_SMD,
BUK7M9R9-60E,"Q6,Q5,Q4,Q3,Q2,Q1",LFPAK33,
1.5kΩ,R23,0603_R,C22843
22kΩ,R1,0603_R,C31850
5.1Ω,"R16,R10,R4,R15,R9,R2",0603_R,C25197
22Ω,"R26,R25,R24",0603_R,C23345
10kΩ 0.5%,R20,0603_R,C25804
150kΩ 0.5%,R19,0603_R,C22807
10mΩ 1W,R18,R_1206_3216Metric,C76294
no pop,R17,0603_R,
20kΩ 1%,"R14,R13,R12,R11",0603_R,C4184
220kΩ 1%,"R8,R7,R6,R5",0603_R,C22961
22µH,L1,L_1008_2520Metric,
Conn_01x03,J2,Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,
Conn_02x01,J1,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,
Conn_01x06_MountingPin,J6,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,
Ferrite_Bead,FB1,L_0603_1608Metric,C85831
SMAJ33A,D1,D_SMA,C134981
YELLOW 黄,D5,LED_0805_2012Metric,C2296
RED 红,D4,LED_0805_2012Metric,C84256
100nF 50V X7R,"C10,C6,C5,C4,C15,C14,C13,C12,C3",0603_C,C14663
10µF 50V,C9,C_1206_3216Metric,C13585
220µF 35V,C2,CP_Elec_8x10.5,C134820
10uF 50V,C7,C_1206_3216Metric,C13585
1nF,C8,0603_C,C1588
2.2µF 16V,C1,0603_C,C23630
47µF 6.3V,C11,0805_C,C16780
